station_id,p,d,q,P,D,Q,S,AIC
2111,1,0,1,2,1,0,24,96900.343
2112,1,0,1,2,1,0,24,92028.437
2116,1,0,1,2,1,0,24,88514.237
2122,1,0,1,2,1,0,24,81811.781
2128,1,0,1,2,1,0,24,76033.441
2129,1,0,1,2,1,0,24,68043.089
2130,1,0,1,2,1,0,24,51747.384
2139,1,0,2,2,1,0,24,78094.277
2143,1,0,1,2,1,0,24,63010.856
2148,1,0,2,2,1,0,24,85720.003
2159,2,0,2,2,1,0,24,61386.277
2171,1,0,1,2,1,0,24,106034.838
2172,1,0,2,2,1,0,24,84041.636
2178,2,0,2,2,1,0,24,83822.553
2179,1,0,1,2,1,0,24,99322.801
2185,1,0,2,2,1,0,24,87365.585
2186,1,0,2,2,1,0,24,77166.275
2191,1,0,2,2,1,0,24,89292.778
2198,1,0,1,2,1,0,24,82400.263
2199,1,0,2,2,1,0,24,41571.568
3310,2,0,2,2,1,0,24,74117.253
3311,1,0,1,2,1,0,24,94813.029
3802,1,0,2,2,1,0,24,85759.308
